Hourly measurement data supplied by UK-air on 11/09/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Newcastle Cradlewell Roadside",,,,,,,,,,,
Latitude,,54.986405,,,,,,,,,,,,
Longitude,,-1.595362,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,
Zone,,North East,,,,,,,,,,,,
Agglomeration,,Tyneside,,,,,,,,,,,,
Local Authority,,"Newcastle",,,,,,,,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2010-08-01,01:00:00,56,V ugm-3,53,V ugm-3,139,V ugm-3,266.9,N deg,5.6,N ms-1,11.5,N degC
2010-08-01,02:00:00,36,V ugm-3,32,V ugm-3,88,V ugm-3,269.8,N deg,5.6,N ms-1,11.5,N degC
2010-08-01,03:00:00,24,V ugm-3,21,V ugm-3,57,V ugm-3,275.4,N deg,5.6,N ms-1,11.4,N degC
2010-08-01,04:00:00,6,V ugm-3,11,V ugm-3,21,V ugm-3,280.7,N deg,5.5,N ms-1,11.4,N degC
2010-08-01,05:00:00,5,V ugm-3,8,V ugm-3,15,V ugm-3,282.4,N deg,5.3,N ms-1,11.6,N degC
2010-08-01,06:00:00,11,V ugm-3,11,V ugm-3,29,V ugm-3,282.8,N deg,5.2,N ms-1,11.8,N degC
2010-08-01,07:00:00,9,V ugm-3,10,V ugm-3,23,V ugm-3,284.7,N deg,5.1,N ms-1,12.1,N degC
2010-08-01,08:00:00,8,V ugm-3,6,V ugm-3,17,V ugm-3,284.7,N deg,5.2,N ms-1,12.3,N degC
2010-08-01,09:00:00,11,V ugm-3,8,V ugm-3,25,V ugm-3,285.3,N deg,5.3,N ms-1,13.6,N degC
2010-08-01,10:00:00,19,V ugm-3,13,V ugm-3,42,V ugm-3,291.5,N deg,5.3,N ms-1,16,N degC
2010-08-01,11:00:00,14,V ugm-3,11,V ugm-3,32,V ugm-3,297.4,N deg,5.5,N ms-1,17.6,N degC
2010-08-01,12:00:00,20,V ugm-3,17,V ugm-3,48,V ugm-3,299.8,N deg,5.7,N ms-1,17.9,N degC
2010-08-01,13:00:00,25,V ugm-3,23,V ugm-3,61,V ugm-3,297.1,N deg,5.6,N ms-1,17.7,N degC
2010-08-01,14:00:00,24,V ugm-3,25,V ugm-3,61,V ugm-3,294.1,N deg,5.5,N ms-1,17.6,N degC
2010-08-01,15:00:00,18,V ugm-3,19,V ugm-3,46,V ugm-3,296,N deg,5.1,N ms-1,17.6,N degC
2010-08-01,16:00:00,23,V ugm-3,23,V ugm-3,57,V ugm-3,297,N deg,4.4,N ms-1,17.5,N degC
2010-08-01,17:00:00,15,V ugm-3,17,V ugm-3,40,V ugm-3,296.1,N deg,4.5,N ms-1,17.5,N degC
2010-08-01,18:00:00,14,V ugm-3,21,V ugm-3,42,V ugm-3,298,N deg,4.7,N ms-1,17.3,N degC
2010-08-01,19:00:00,9,V ugm-3,19,V ugm-3,32,V ugm-3,308.1,N deg,4,N ms-1,16.2,N degC
2010-08-01,20:00:00,5,V ugm-3,15,V ugm-3,23,V ugm-3,307.8,N deg,3.8,N ms-1,14.9,N degC
2010-08-01,21:00:00,1,V ugm-3,10,V ugm-3,11,V ugm-3,300.4,N deg,4.1,N ms-1,14.2,N degC
2010-08-01,22:00:00,6,V ugm-3,15,V ugm-3,25,V ugm-3,300.8,N deg,4.3,N ms-1,14,N degC
