Hourly measurement data supplied by UK-air on 18/07/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Tinsley",,,,,,,,,,,
Latitude,,53.410580,,,,,,,,,,,,
Longitude,,-1.396139,,,,,,,,,,,,
Site Type,,Urban Background,,,,,,,,,,,,
Zone,,Yorkshire & Humberside,,,,,,,,,,,,
Agglomeration,,Sheffield Urban Area,,,,,,,,,,,,
Local Authority,,"Sheffield",,,,,,,,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2010-08-01,01:00:00,1,V ugm-3,11,V ugm-3,13,V ugm-3,255,N deg,3.9,N ms-1,11.4,N degC
2010-08-01,02:00:00,1,V ugm-3,11,V ugm-3,13,V ugm-3,259.8,N deg,4,N ms-1,11.7,N degC
2010-08-01,03:00:00,1,V ugm-3,10,V ugm-3,11,V ugm-3,268.5,N deg,4.2,N ms-1,12,N degC
2010-08-01,04:00:00,1,V ugm-3,10,V ugm-3,11,V ugm-3,275.3,N deg,4,N ms-1,12.2,N degC
2010-08-01,05:00:00,1,V ugm-3,8,V ugm-3,10,V ugm-3,279.9,N deg,3.6,N ms-1,12.1,N degC
2010-08-01,06:00:00,4,V ugm-3,17,V ugm-3,23,V ugm-3,281.4,N deg,3.3,N ms-1,12,N degC
2010-08-01,07:00:00,6,V ugm-3,17,V ugm-3,27,V ugm-3,280.2,N deg,3.1,N ms-1,12.1,N degC
2010-08-01,08:00:00,6,V ugm-3,13,V ugm-3,23,V ugm-3,285.9,N deg,3,N ms-1,12.5,N degC
2010-08-01,09:00:00,3,V ugm-3,8,V ugm-3,11,V ugm-3,296.1,N deg,3.1,N ms-1,13.3,N degC
2010-08-01,10:00:00,4,V ugm-3,10,V ugm-3,15,V ugm-3,299.5,N deg,3.2,N ms-1,14.9,N degC
2010-08-01,11:00:00,5,V ugm-3,15,V ugm-3,23,V ugm-3,300,N deg,3.5,N ms-1,17.1,N degC
2010-08-01,12:00:00,6,V ugm-3,17,V ugm-3,27,V ugm-3,303.4,N deg,3.9,N ms-1,18.7,N degC
2010-08-01,13:00:00,8,V ugm-3,13,V ugm-3,25,V ugm-3,301.9,N deg,4.4,N ms-1,19,N degC
2010-08-01,14:00:00,8,V ugm-3,15,V ugm-3,27,V ugm-3,301.4,N deg,4.8,N ms-1,19,N degC
2010-08-01,15:00:00,6,V ugm-3,13,V ugm-3,23,V ugm-3,307.6,N deg,5.1,N ms-1,19,N degC
2010-08-01,16:00:00,6,V ugm-3,13,V ugm-3,23,V ugm-3,308.1,N deg,5.1,N ms-1,18.9,N degC
2010-08-01,17:00:00,6,V ugm-3,17,V ugm-3,27,V ugm-3,309,N deg,5,N ms-1,18.6,N degC
2010-08-01,18:00:00,5,V ugm-3,13,V ugm-3,21,V ugm-3,313.1,N deg,5.3,N ms-1,17.8,N degC
2010-08-01,19:00:00,4,V ugm-3,15,V ugm-3,21,V ugm-3,316.9,N deg,5.2,N ms-1,16.5,N degC
2010-08-01,20:00:00,4,V ugm-3,19,V ugm-3,25,V ugm-3,317.7,N deg,4.7,N ms-1,14.9,N degC
2010-08-01,21:00:00,4,V ugm-3,19,V ugm-3,25,V ugm-3,311.7,N deg,4.4,N ms-1,13.7,N degC
2010-08-01,22:00:00,3,V ugm-3,17,V ugm-3,21,V ugm-3,308,N deg,4.5,N ms-1,12.9,N degC
2010-08-01,23:00:00,3,V ugm-3,13,V ugm-3,17,V ugm-3,308.2,N deg,4.8,N ms-1,12.3,N degC
2010-08-01,24:00:00,3,V ugm-3,11,V ugm-3,15,V ugm-3,307.4,N deg,5.1,N ms-1,11.8,N degC
2010-08-02,01:00:00,1,V ugm-3,8,V ugm-3,10,V ugm-3,301.6,N deg,4.4,N ms-1,11.2,N degC
2010-08-02,02:00:00,0,V ugm-3,11,V ugm-3,11,V ugm-3,300.2,N deg,3.8,N ms-1,11,N degC
2010-08-02,03:00:00,1,V ugm-3,13,V ugm-3,15,V ugm-3,307.3,N deg,4.2,N ms-1,11.4,N degC
2010-08-02,04:00:00,1,V ugm-3,13,V ugm-3,15,V ugm-3,315,N deg,4.2,N ms-1,11.5,N degC
2010-08-02,05:00:00,6,V ugm-3,34,V ugm-3,44,V ugm-3,321.9,N deg,4.1,N ms-1,11.5,N degC
2010-08-02,06:00:00,10,V ugm-3,34,V ugm-3,50,V ugm-3,327.8,N deg,4,N ms-1,11.6,N degC
2010-08-02,07:00:00,9,V ugm-3,32,V ugm-3,46,V ugm-3,338.2,N deg,3.3,N ms-1,11.9,N degC
2010-08-02,08:00:00,9,V ugm-3,31,V ugm-3,44,V ugm-3,349.8,N deg,2.7,N ms-1,12.3,N degC
2010-08-02,09:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,355.4,N deg,2.7,N ms-1,12.9,N degC
2010-08-02,10:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,357.6,N deg,2.6,N ms-1,13.8,N degC
2010-08-02,11:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,186.1,N deg,2.4,N ms-1,15.5,N degC
2010-08-02,12:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,13.6,N deg,2.4,N ms-1,17,N degC
2010-08-02,13:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,11.6,N deg,2.5,N ms-1,17.6,N degC
2010-08-02,14:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,183,N deg,2.3,N ms-1,18.2,N degC
2010-08-02,15:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,350.6,N deg,2.3,N ms-1,18.4,N degC
2010-08-02,16:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,342.1,N deg,2.3,N ms-1,18.3,N degC
2010-08-02,17:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,342.4,N deg,2.7,N ms-1,17.6,N degC
2010-08-02,18:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,344.9,N deg,3,N ms-1,16.5,N degC
2010-08-02,19:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,339.1,N deg,2.6,N ms-1,15.8,N degC
2010-08-02,20:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,321.3,N deg,2.9,N ms-1,15,N degC
2010-08-02,21:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,309.7,N deg,3.8,N ms-1,14.2,N degC
2010-08-02,22:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,307.9,N deg,4.2,N ms-1,13.5,N degC
2010-08-02,23:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,304.1,N deg,4.2,N ms-1,12.7,N degC
2010-08-02,24:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,303,N deg,4.4,N ms-1,11.9,N degC
2010-08-03,01:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,289.1,N deg,4,N ms-1,10.4,N degC
2010-08-03,02:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,277.4,N deg,3.3,N ms-1,9.2,N degC
2010-08-03,03:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,276.8,N deg,3,N ms-1,9.1,N degC
2010-08-03,04:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,269.7,N deg,2.7,N ms-1,8.9,N degC
2010-08-03,05:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,262.6,N deg,2.7,N ms-1,8.6,N degC
2010-08-03,06:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,256.9,N deg,2.7,N ms-1,8.7,N degC
2010-08-03,07:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,248.4,N deg,2.8,N ms-1,9.5,N degC
2010-08-03,08:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,232.9,N deg,2.9,N ms-1,10.9,N degC
2010-08-03,09:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,221,N deg,3,N ms-1,11.7,N degC
2010-08-03,10:00:00,20,V ugm-3,36,V ugm-3,67,V ugm-3,220,N deg,3.3,N ms-1,12.8,N degC
2010-08-03,11:00:00,20,V ugm-3,31,V ugm-3,61,V ugm-3,229,N deg,3.5,N ms-1,15.5,N degC
2010-08-03,12:00:00,28,V ugm-3,36,V ugm-3,78,V ugm-3,247.8,N deg,3.8,N ms-1,17.9,N degC
2010-08-03,13:00:00,20,V ugm-3,31,V ugm-3,61,V ugm-3,264.3,N deg,4.6,N ms-1,19,N degC
2010-08-03,14:00:00,18,V ugm-3,29,V ugm-3,55,V ugm-3,272.1,N deg,5.5,N ms-1,20,N degC
2010-08-03,15:00:00,18,V ugm-3,32,V ugm-3,59,V ugm-3,272.4,N deg,5.8,N ms-1,20.5,N degC
2010-08-03,16:00:00,16,V ugm-3,32,V ugm-3,57,V ugm-3,274.1,N deg,5.7,N ms-1,20.2,N degC
2010-08-03,17:00:00,16,V ugm-3,36,V ugm-3,61,V ugm-3,284,N deg,5.5,N ms-1,19.5,N degC
2010-08-03,18:00:00,11,V ugm-3,31,V ugm-3,48,V ugm-3,292.8,N deg,5.4,N ms-1,18.5,N degC
2010-08-03,19:00:00,9,V ugm-3,29,V ugm-3,42,V ugm-3,295.7,N deg,5,N ms-1,17.3,N degC
2010-08-03,20:00:00,9,V ugm-3,32,V ugm-3,46,V ugm-3,289.9,N deg,4.5,N ms-1,15.9,N degC
2010-08-03,21:00:00,9,V ugm-3,32,V ugm-3,46,V ugm-3,284.6,N deg,4.2,N ms-1,14.9,N degC
2010-08-03,22:00:00,5,V ugm-3,31,V ugm-3,38,V ugm-3,286.1,N deg,4,N ms-1,14.1,N degC
2010-08-03,23:00:00,5,V ugm-3,34,V ugm-3,42,V ugm-3,282,N deg,3.9,N ms-1,13.4,N degC
2010-08-03,24:00:00,5,V ugm-3,32,V ugm-3,40,V ugm-3,272.4,N deg,4.1,N ms-1,12.7,N degC
2010-08-04,01:00:00,4,V ugm-3,27,V ugm-3,32,V ugm-3,263.1,N deg,3.7,N ms-1,12,N degC
2010-08-04,02:00:00,4,V ugm-3,27,V ugm-3,32,V ugm-3,260.5,N deg,3.8,N ms-1,11.7,N degC
2010-08-04,03:00:00,5,V ugm-3,31,V ugm-3,38,V ugm-3,262.3,N deg,4,N ms-1,11.9,N degC
2010-08-04,04:00:00,9,V ugm-3,32,V ugm-3,46,V ugm-3,255.7,N deg,3.6,N ms-1,12.1,N degC
2010-08-04,05:00:00,30,V ugm-3,44,V ugm-3,90,V ugm-3,250.6,N deg,3.7,N ms-1,12.1,N degC
2010-08-04,06:00:00,51,V ugm-3,52,V ugm-3,130,V ugm-3,258.8,N deg,4.1,N ms-1,12.1,N degC
2010-08-04,07:00:00,41,V ugm-3,65,V ugm-3,128,V ugm-3,285.3,N deg,4.6,N ms-1,12.3,N degC
2010-08-04,08:00:00,58,V ugm-3,71,V ugm-3,159,V ugm-3,300.3,N deg,4.1,N ms-1,12.6,N degC
2010-08-04,09:00:00,51,V ugm-3,63,V ugm-3,141,V ugm-3,294.8,N deg,4,N ms-1,13.8,N degC
2010-08-04,10:00:00,25,V ugm-3,42,V ugm-3,80,V ugm-3,302.6,N deg,4.4,N ms-1,15.6,N degC
2010-08-04,11:00:00,10,V ugm-3,23,V ugm-3,38,V ugm-3,311.8,N deg,4.3,N ms-1,16.5,N degC
2010-08-04,12:00:00,11,V ugm-3,23,V ugm-3,40,V ugm-3,323.7,N deg,4,N ms-1,16.9,N degC
2010-08-04,13:00:00,8,V ugm-3,25,V ugm-3,36,V ugm-3,335.1,N deg,4.2,N ms-1,17.4,N degC
2010-08-04,14:00:00,8,V ugm-3,23,V ugm-3,34,V ugm-3,330.4,N deg,5.4,N ms-1,17.5,N degC
2010-08-04,15:00:00,9,V ugm-3,25,V ugm-3,38,V ugm-3,323,N deg,6.6,N ms-1,17.6,N degC
2010-08-04,16:00:00,13,V ugm-3,27,V ugm-3,46,V ugm-3,317.9,N deg,7.6,N ms-1,17.8,N degC
2010-08-04,17:00:00,13,V ugm-3,29,V ugm-3,48,V ugm-3,316.1,N deg,7.9,N ms-1,17.4,N degC
2010-08-04,18:00:00,10,V ugm-3,25,V ugm-3,40,V ugm-3,315.6,N deg,7.6,N ms-1,16.6,N degC
2010-08-04,19:00:00,8,V ugm-3,23,V ugm-3,34,V ugm-3,312.7,N deg,7.3,N ms-1,15.5,N degC
2010-08-04,20:00:00,5,V ugm-3,21,V ugm-3,29,V ugm-3,310,N deg,7.5,N ms-1,14.1,N degC
2010-08-04,21:00:00,6,V ugm-3,25,V ugm-3,34,V ugm-3,312.1,N deg,7.4,N ms-1,13.3,N degC
2010-08-04,22:00:00,3,V ugm-3,17,V ugm-3,21,V ugm-3,314.6,N deg,7.1,N ms-1,12.9,N degC
2010-08-04,23:00:00,3,V ugm-3,15,V ugm-3,19,V ugm-3,312.5,N deg,7.1,N ms-1,12.6,N degC
2010-08-04,24:00:00,1,V ugm-3,8,V ugm-3,10,V ugm-3,311.6,N deg,7.1,N ms-1,12.2,N degC
2010-08-05,01:00:00,1,V ugm-3,6,V ugm-3,8,V ugm-3,310.8,N deg,6.4,N ms-1,11.5,N degC
2010-08-05,02:00:00,1,V ugm-3,8,V ugm-3,10,V ugm-3,308.4,N deg,6,N ms-1,10.9,N degC
2010-08-05,03:00:00,3,V ugm-3,13,V ugm-3,17,V ugm-3,306,N deg,6.3,N ms-1,10.7,N degC
2010-08-05,04:00:00,8,V ugm-3,34,V ugm-3,46,V ugm-3,304.2,N deg,6.4,N ms-1,10.6,N degC
2010-08-05,05:00:00,15,V ugm-3,40,V ugm-3,63,V ugm-3,303.9,N deg,6.3,N ms-1,10.5,N degC
2010-08-05,06:00:00,23,V ugm-3,34,V ugm-3,69,V ugm-3,303.9,N deg,6,N ms-1,10.8,N degC
2010-08-05,07:00:00,24,V ugm-3,36,V ugm-3,73,V ugm-3,301.3,N deg,5.9,N ms-1,12,N degC
2010-08-05,08:00:00,16,V ugm-3,32,V ugm-3,57,V ugm-3,303.5,N deg,6.2,N ms-1,13.5,N degC
2010-08-05,09:00:00,13,V ugm-3,29,V ugm-3,48,V ugm-3,310.7,N deg,6.3,N ms-1,15.2,N degC
2010-08-05,10:00:00,11,V ugm-3,27,V ugm-3,44,V ugm-3,313.9,N deg,6,N ms-1,16.6,N degC
